country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
JOR;Jordan;PAÍSES DE INGRESO MEDIANO BAJO;44503006338;PAÍSES DE INGRESO MEDIANO BAJO;43700383099;PAÍSES DE INGRESO MEDIANO BAJO;46296100141;PAÍSES DE INGRESO MEDIANO BAJO;48764963380;PAÍSES DE INGRESO MEDIANO BAJO;50967475352
JPN;Japan;INGRESO ALTO;5117993853017;INGRESO ALTO;5055587093502;INGRESO ALTO;5034620784585;INGRESO ALTO;4256410760724;INGRESO ALTO;4204494802432
KAZ;Kazakhstan;INGRESO MEDIANO ALTO;181667184855;INGRESO MEDIANO ALTO;171082365861;INGRESO MEDIANO ALTO;197112255361;INGRESO MEDIANO ALTO;225496328925;INGRESO MEDIANO ALTO;262641892079
KEN;Kenya;PAÍSES DE INGRESO MEDIANO BAJO;100378436207;PAÍSES DE INGRESO MEDIANO BAJO;100657505751;PAÍSES DE INGRESO MEDIANO BAJO;109703658905;PAÍSES DE INGRESO MEDIANO BAJO;114448978153;PAÍSES DE INGRESO MEDIANO BAJO;108038588971
KGZ;Kyrgyzstan;PAÍSES DE INGRESO MEDIANO BAJO;9371275264;PAÍSES DE INGRESO MEDIANO BAJO;8270468614;PAÍSES DE INGRESO MEDIANO BAJO;9249133946;PAÍSES DE INGRESO MEDIANO BAJO;12134931018;PAÍSES DE INGRESO MEDIANO BAJO;13987627909
KHM;Cambodia;PAÍSES DE INGRESO MEDIANO BAJO;36685356408;PAÍSES DE INGRESO MEDIANO BAJO;34818073901;PAÍSES DE INGRESO MEDIANO BAJO;36790163687;PAÍSES DE INGRESO MEDIANO BAJO;39994532960;PAÍSES DE INGRESO MEDIANO BAJO;42335646896
KIR;Kiribati;PAÍSES DE INGRESO MEDIANO BAJO;216985362;PAÍSES DE INGRESO MEDIANO BAJO;223123621;PAÍSES DE INGRESO MEDIANO BAJO;289339292;PAÍSES DE INGRESO MEDIANO BAJO;270841698;PAÍSES DE INGRESO MEDIANO BAJO;279208903
KNA;Saint kitts and nevis;INGRESO ALTO;1107855556;INGRESO ALTO;883922222;INGRESO ALTO;858622222;INGRESO ALTO;981429630;INGRESO ALTO;1055499778
KOR;Korea, republic of;INGRESO ALTO;1651422932448;INGRESO ALTO;1644312831906;INGRESO ALTO;1818432106880;INGRESO ALTO;1673916511800;INGRESO ALTO;1712792854202
KWT;Kuwait;INGRESO ALTO;140856394870;INGRESO ALTO;111045470461;INGRESO ALTO;148459291453;INGRESO ALTO;183940215065;INGRESO ALTO;163704878876
LAO;Lao people's democratic republic;PAÍSES DE INGRESO MEDIANO BAJO;18740561513;PAÍSES DE INGRESO MEDIANO BAJO;18981805250;PAÍSES DE INGRESO MEDIANO BAJO;18827148531;PAÍSES DE INGRESO MEDIANO BAJO;15468785204;PAÍSES DE INGRESO MEDIANO BAJO;15843155731
LBN;Lebanon;PAÍSES DE INGRESO MEDIANO BAJO;51605959131;PAÍSES DE INGRESO MEDIANO BAJO;31712128254;PAÍSES DE INGRESO MEDIANO BAJO;23131941557;PAÍSES DE INGRESO MEDIANO BAJO;20992421949;PAÍSES DE INGRESO MEDIANO BAJO;0
LBR;Liberia;PAÍSES DE INGRESO BAJO;3319596500;PAÍSES DE INGRESO BAJO;3176126300;PAÍSES DE INGRESO BAJO;3513049500;PAÍSES DE INGRESO BAJO;4001047000;PAÍSES DE INGRESO BAJO;4240000000
LBY;Libya;INGRESO MEDIANO ALTO;69254496472;INGRESO MEDIANO ALTO;46854285441;INGRESO MEDIANO ALTO;35217995647;INGRESO MEDIANO ALTO;43246297922;INGRESO MEDIANO ALTO;45096462972
LCA;Saint lucia;INGRESO MEDIANO ALTO;2095370370;INGRESO MEDIANO ALTO;1499296296;INGRESO MEDIANO ALTO;1867185185;INGRESO MEDIANO ALTO;2342703704;INGRESO MEDIANO ALTO;2430148148
LIE;Liechtenstein;INGRESO ALTO;6436467007;INGRESO ALTO;6405870210;INGRESO ALTO;7710380086;INGRESO ALTO;7361504432;INGRESO ALTO;0
LKA;Sri lanka;PAÍSES DE INGRESO MEDIANO BAJO;89014978344;PAÍSES DE INGRESO MEDIANO BAJO;84304298771;PAÍSES DE INGRESO MEDIANO BAJO;88609324902;PAÍSES DE INGRESO MEDIANO BAJO;74144870023;PAÍSES DE INGRESO MEDIANO BAJO;84356863744
LSO;Lesotho;PAÍSES DE INGRESO MEDIANO BAJO;2390702296;PAÍSES DE INGRESO MEDIANO BAJO;2053699870;PAÍSES DE INGRESO MEDIANO BAJO;2412130057;PAÍSES DE INGRESO MEDIANO BAJO;2354683089;PAÍSES DE INGRESO MEDIANO BAJO;2117962451
LTU;Lithuania;INGRESO ALTO;55122066226;INGRESO ALTO;57412038533;INGRESO ALTO;67037321009;INGRESO ALTO;71033884500;INGRESO ALTO;79789877416
LUX;Luxembourg;INGRESO ALTO;69890505324;INGRESO ALTO;73699366700;INGRESO ALTO;85584105994;INGRESO ALTO;81641807866;INGRESO ALTO;85755006124
LVA;Latvia;INGRESO ALTO;33099503951;INGRESO ALTO;33379927435;INGRESO ALTO;38185125733;INGRESO ALTO;38018905782;INGRESO ALTO;42247850065
MAC;Macao;INGRESO ALTO;55082293844;INGRESO ALTO;25343525936;INGRESO ALTO;30969334705;INGRESO ALTO;24999113476;INGRESO ALTO;45803067940
MAF;Saint martin (french part);INGRESO ALTO;652206037;INGRESO ALTO;0;INGRESO ALTO;649206263;INGRESO ALTO;0;INGRESO ALTO;0
MAR;Morocco;PAÍSES DE INGRESO MEDIANO BAJO;128920266409;PAÍSES DE INGRESO MEDIANO BAJO;121353645057;PAÍSES DE INGRESO MEDIANO BAJO;142022058447;PAÍSES DE INGRESO MEDIANO BAJO;130951926351;PAÍSES DE INGRESO MEDIANO BAJO;144417103250
MCO;Monaco;INGRESO ALTO;7383496254;INGRESO ALTO;6730736283;INGRESO ALTO;8623242743;INGRESO ALTO;8800430486;INGRESO ALTO;9995350547
MDA;Moldova, republic of;INGRESO MEDIANO ALTO;11736797055;INGRESO MEDIANO ALTO;11530746234;INGRESO MEDIANO ALTO;13691869264;INGRESO MEDIANO ALTO;14510490660;INGRESO MEDIANO ALTO;16539436547
MDG;Madagascar;PAÍSES DE INGRESO BAJO;14104664679;PAÍSES DE INGRESO BAJO;13051441204;PAÍSES DE INGRESO BAJO;14554754117;PAÍSES DE INGRESO BAJO;15134700203;PAÍSES DE INGRESO BAJO;15790113247
MDV;Maldives;INGRESO MEDIANO ALTO;5726094799;INGRESO MEDIANO ALTO;3712604583;INGRESO MEDIANO ALTO;5252457370;INGRESO MEDIANO ALTO;6177118114;INGRESO MEDIANO ALTO;6590894302
MEX;Mexico;INGRESO MEDIANO ALTO;1304106203695;INGRESO MEDIANO ALTO;1121064767262;INGRESO MEDIANO ALTO;1316569466933;INGRESO MEDIANO ALTO;1464312692332;INGRESO MEDIANO ALTO;1789114434843
MHL;Marshall islands;INGRESO MEDIANO ALTO;232900000;INGRESO MEDIANO ALTO;241800000;INGRESO MEDIANO ALTO;258900000;INGRESO MEDIANO ALTO;253400000;INGRESO MEDIANO ALTO;259300000
MKD;North macedonia;INGRESO MEDIANO ALTO;12606338449;INGRESO MEDIANO ALTO;12361036914;INGRESO MEDIANO ALTO;14000283827;INGRESO MEDIANO ALTO;13932436550;INGRESO MEDIANO ALTO;15763621848
MLI;Mali;PAÍSES DE INGRESO BAJO;17280250810;PAÍSES DE INGRESO BAJO;17465392764;PAÍSES DE INGRESO BAJO;19309463508;PAÍSES DE INGRESO BAJO;18780322204;PAÍSES DE INGRESO BAJO;20661794596
MLT;Malta;INGRESO ALTO;16337793531;INGRESO ALTO;16385919536;INGRESO ALTO;19718565605;INGRESO ALTO;19209979975;INGRESO ALTO;22328640242
MMR;Myanmar;PAÍSES DE INGRESO MEDIANO BAJO;75065106228;PAÍSES DE INGRESO MEDIANO BAJO;79006113643;PAÍSES DE INGRESO MEDIANO BAJO;66345291160;PAÍSES DE INGRESO MEDIANO BAJO;62253049892;PAÍSES DE INGRESO MEDIANO BAJO;66757619000
